distribution,true_alpha,trial_id,k,gamma_hat,alpha_hat
"Uniform(0,1)",1.0,11,250,1.0257368524055328,0.9749089131923306
"Uniform(0,1)",1.0,12,25,1.0938788076213823,0.9141780543079356
"Uniform(0,1)",1.0,12,50,0.8904103565872336,1.123077682780782
"Uniform(0,1)",1.0,12,75,0.973060031840829,1.0276858233589208
"Uniform(0,1)",1.0,12,100,0.9486911780900137,1.0540837978627413
"Uniform(0,1)",1.0,12,125,0.9239349224224287,1.0823273108652927
"Uniform(0,1)",1.0,12,150,0.9939348558461554,1.0061021546011497
"Uniform(0,1)",1.0,12,200,1.0294883346867882,0.9713563197432832
"Uniform(0,1)",1.0,12,250,0.9968319265253741,1.0031781420621917
"Uniform(0,1)",1.0,13,25,1.264273459205228,0.7909681190560144
"Uniform(0,1)",1.0,13,50,1.024417928282596,0.9761640951329972
"Uniform(0,1)",1.0,13,75,1.0967683783362447,0.9117695401803627
"Uniform(0,1)",1.0,13,100,1.0591321521551027,0.9441692407932459
"Uniform(0,1)",1.0,13,125,1.0757755027377616,0.9295619740876055
"Uniform(0,1)",1.0,13,150,1.0206557870987987,0.9797622397679119
"Uniform(0,1)",1.0,13,200,0.9926504120380966,1.0074040043430934
"Uniform(0,1)",1.0,13,250,1.0159914536126542,0.9842602479028816
"Uniform(0,1)",1.0,14,25,1.062810015008125,0.9409019353212956
"Uniform(0,1)",1.0,14,50,1.0218939117090056,0.9785751618067766
"Uniform(0,1)",1.0,14,75,0.9676944236541226,1.033384067900162
"Uniform(0,1)",1.0,14,100,0.991286680969838,1.0087899083054734
"Uniform(0,1)",1.0,14,125,0.9843572248118454,1.0158913601626123
"Uniform(0,1)",1.0,14,150,1.0045789411562827,0.9954419299781336
"Uniform(0,1)",1.0,14,200,1.0248774761403132,0.9757263900129782
"Uniform(0,1)",1.0,14,250,1.1184183101292329,0.8941198395477362
"Uniform(0,1)",1.0,15,25,1.3187750300873193,0.7582794465965795
"Uniform(0,1)",1.0,15,50,1.2626791355465408,0.7919668361092843
"Uniform(0,1)",1.0,15,75,1.1798918190779464,0.8475353280959885
"Uniform(0,1)",1.0,15,100,1.1532879365753077,0.867086152803699
"Uniform(0,1)",1.0,15,125,1.126164880949072,0.8879694411685551
"Uniform(0,1)",1.0,15,150,1.106662653544626,0.9036177346339583
"Uniform(0,1)",1.0,15,200,1.0644247769168211,0.9394745609892398
"Uniform(0,1)",1.0,15,250,1.030465581520875,0.9704351294529309
"Uniform(0,1)",1.0,16,25,0.9520631545371038,1.0503504890767497
"Uniform(0,1)",1.0,16,50,1.0328441187788358,0.968200313888926
"Uniform(0,1)",1.0,16,75,0.988017085390425,1.0121282463499504
"Uniform(0,1)",1.0,16,100,0.9992241049939995,1.0007764974865225
"Uniform(0,1)",1.0,16,125,0.9725015437157312,1.0282760027086464
"Uniform(0,1)",1.0,16,150,0.9279726339833517,1.0776179850341798
"Uniform(0,1)",1.0,16,200,0.9371604026726797,1.0670531929732718
"Uniform(0,1)",1.0,16,250,0.9769666362259819,1.0235764077502134
"Uniform(0,1)",1.0,17,25,0.9975632879395044,1.00244266412964
