threshold_quantile,threshold,exceedances,xi,beta,endpoint,gap
0.8,0.6766908252,618880,-0.3002564738342862,0.18761188532614786,1.3015295936379863,0.004134690637986216
0.85,0.7158813114,464160,-0.3286720154406392,0.19114969719213015,1.297463217410046,6.83144100459554e-05
0.9,0.7804946669,309440,-0.3501150398952879,0.18098770018377458,1.297432471793798,3.756879379790412e-05
0.925,0.835550611525,232080,-0.3363434742176442,0.1553545535248441,1.2974431869234329,4.8283923432812514e-05
0.95,0.90136954405,154720,-0.31527062651314197,0.12487737071930877,1.2974653430796736,7.044007967360599e-05
