column,n,nonpositive_removed,k_used,k_pickands_used,threshold,exceedances,observed_max,hill_xi,pickands_xi,gpd_xi,gpd_beta,pwm_xi,pwm_beta,lmoment_xi,lmoment_beta,endpoint,gap
Phi_Dist_1,61888,0,6189,6189,0.7465403084000001,6189,0.927056809,0.040267645143168856,-0.42653219018303123,-0.12449279109328786,0.03500623272141516,-0.14726960053566432,0.035736701323279337,-0.14726960053566404,0.03573670132327932,1.0277311501667612,0.10067434116676122
Phi_Dist_2,61888,0,6189,6189,0.6893265716,6189,0.897899281,0.048067844669579377,-0.35559583623537044,-0.1308510407045163,0.03910277793085698,-0.12433417657097524,0.03887336709181386,-0.12433417657097567,0.038873367091813875,0.988160862258472,0.09026158125847195
Phi_Dist_3,61888,0,6189,6189,0.21864027200000002,6189,0.332248517,0.082576828890124,-0.19209120202033914,-0.1131286817742583,0.02161390609017196,-0.12053581856884493,0.021760666583175905,-0.120535818568845,0.021760666583175905,0.4096962071632971,0.07744769016329706
Phi_Dist_4,61888,0,6189,6189,0.5974934687,6189,0.738557917,0.04369930688798001,-0.4762231643080857,-0.1931048760828152,0.032337827647262014,-0.18712388237172223,0.0321724833993323,-0.1871238823717224,0.032172483399332305,0.7649559807983147,0.026398063798314775
Phi_Dist_5,61888,0,6189,6189,0.5502600586,6189,0.656657975,0.03243805827405764,-0.6317526421611821,-0.14511763184017518,0.02098272410910218,-0.2000675898634412,0.02202549746104682,-0.20006758986344123,0.02202549746104682,0.6948512005792975,0.038193225579297496
Phi_Dist_6,61888,0,6189,6189,0.4847765865,6189,0.596807991,0.03339703217494761,-0.7015999776183397,-0.12623444001241318,0.018744728525421524,-0.17539123387079003,0.019592515269328883,-0.17539123387078964,0.019592515269328876,0.6332679849137631,0.03645999391376309
Phi_Dist_7,61888,0,6189,6189,0.7242404862999999,6189,0.862364499,0.027752183716037493,-0.6621787522094188,-0.15440643532079526,0.023688106313715266,-0.21145427908467837,0.024933542759442057,-0.21145427908467862,0.024933542759442064,0.8776544697554225,0.015289970755422488
Phi_Dist_8,61888,0,6189,6189,1.0973352378,6189,1.292360696,0.028373211874733996,-0.6011778599216265,-0.1309062768267531,0.03607266655529413,-0.14771683007411443,0.03663539335889374,-0.14771683007411446,0.03663539335889374,1.3728962531288085,0.08053555712880844
Phi_Dist_9,61888,0,6189,6189,0.8915751981000001,6189,1.105389755,0.03995489129530394,-0.4183504166239228,-0.12649230759042884,0.04154761944816078,-0.14185170421059015,0.04213496090609262,-0.14185170421058974,0.0421349609060926,1.220034851019673,0.11464509601967299
Phi_Dist_10,61888,0,6189,6189,0.7292147377,6189,0.975500401,0.039117235483427854,-0.46496145962564656,0.00995815102933993,0.02935687403112342,-0.01378522217531072,0.030059923093071622,-0.013785222175311198,0.030059923093071636,inf,inf
